ordem,id_genius,cep,logradouro,numero,complemento,bairro,cidade,estado,ativa,split_logistico_ativo,tipo_restritor,id_restritor,entrega_fisica_ativa,restricao_entrega_fisica,loja_virtual,status_revisao
"1","1549","26275-580","Avenida Abílio Augusto Távora","1111","Loja 3020 Piso 3","Jardim Nova Era","Nova Iguaçu","RJ","Sim","Sim","Seller","sonhodospes70","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"2","1550","22755-158","Estrada de Jacarepaguá","99","Loja C e D","Freguesia (Jacarepaguá)","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes68","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"3","1551","22755-158","Estrada de Jacarepaguá","7880","Lj C e D","Freguesia (Jacarepaguá)","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes71","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"4","1552","21820-005","Rua Fonseca","240"," Loja 142 B","Bangu","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes56","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"5","1553","20050-090","Rua Uruguaiana","72","","Centro","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes20","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"6","1554","22755-158","Estrada de Jacarepaguá","7880","Lj C e D","Freguesia (Jacarepaguá)","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes01","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"7","1555","22755-158","Estrada de Jacarepaguá","7880","Lj C e D","Freguesia (Jacarepaguá)","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes01","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"8","1556","24030-085","Rua Almirante Teffe","628","Loja 4","Centro","Niterói","RJ","Sim","Sim","Seller","sonhodospes08","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"9","1557","21810-011","Avenida Cônego de Vasconcelos","423","LJ. H","Bangu","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes61","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"10","1558","25520-640","Rua da Matriz","133","","Centro","São João de Meriti","RJ","Sim","Sim","Seller","sonhodospes13","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"11","1559","20061-021","Rua da Alfândega","261","","Centro","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes97","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"12","1560","24710-465","Praça Carlos Gianelli","34","","Alcântara","São Gonçalo","RJ","Sim","Sim","Seller","sonhodospes16","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"13","1561","20050-006","Rua Sete de Setembro","121","","Centro","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes18","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"14","1562","23050-360","Rua Coronel Agostinho","36"," Loja A","Campo Grande","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes22","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"15","1563","21810-011","Avenida Cônego de Vasconcelos","161"," Loja A","Bangu","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes25","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"16","1564","22221-020","Largo do Machado","29","Loja D","Catete","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes27","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"17","1565","23510-006","Rua Felipe Cardoso","131","","Santa Cruz","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes28","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"18","1566","24466-315","Avenida São Gonçalo","100"," Esp. Com. 202/203","Boa Vista","São Gonçalo","RJ","Sim","Sim","Seller","sonhodospes29","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"19","1567","24440-440","Rua Doutor Feliciano Sodré","259","","Centro","São Gonçalo","RJ","Sim","Sim","Seller","sonhodospes30","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"20","1568","22730-001","Avenida Nelson Cardoso","1312"," Lojas A/B","Taquara","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes31","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"21","1569","20051-040","Avenida Passos","91"," Loja B","Centro","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes32","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"22","1570","24230-050","Rua Ator Paulo Gustavo","265"," Loja 110","Icaraí","Niterói","RJ","Sim","Sim","Seller","sonhodospes36","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"23","1571","22220-001","Rua do Catete","257","Loja A","Catete","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes37","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"24","1572","21210-623","Avenida Vicente de Carvalho","909"," Lj 103","Vila da Penha","Rio de Janeiro","RJ","Sim","Sim","Seller","sonhodospes38","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"25","1573","26285-060","Avenida Governador Roberto Silveira","540","Loja 272","Moquetá","Nova Iguaçu","RJ","Sim","Sim","Seller","sonhodospes40","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
"26","1574","26210-060","Avenida Governador Amaral Peixoto","383","","Centro","Nova Iguaçu","RJ","Sim","Sim","Seller","sonhodospes41","Não","Nenhuma","principal","Apta para cadastro, sem duplicar"
