ordem_origem,id_genius,nome_v2,id_plataforma_v2,cnpj_v2,cep,numero,rua,complemento,bairro,cidade,estado,retorno_para_origem,id_restritor_genius,observacao
"1","1549","Loja sonhodospes70","sonhodospes70","28.445.729/0001-90","26275-580","1111","Avenida Abílio Augusto Távora","Loja 3020 Piso 3","Jardim Nova Era","Nova Iguaçu","RJ","Sim","sonhodospes70","Cadastrar como retorno para o seller identificado pelo ID restritor"
"2","1550","Loja sonhodospes68","sonhodospes68","28.445.729/0001-90","22755-158","99","Estrada de Jacarepaguá","Loja C e D","Freguesia (Jacarepaguá)","Rio de Janeiro","RJ","Sim","sonhodospes68","Cadastrar como retorno para o seller identificado pelo ID restritor"
"3","1551","Loja sonhodospes71","sonhodospes71","28.445.729/0001-90","22755-158","7880","Estrada de Jacarepaguá","Lj C e D","Freguesia (Jacarepaguá)","Rio de Janeiro","RJ","Sim","sonhodospes71","Cadastrar como retorno para o seller identificado pelo ID restritor"
"4","1552","Loja sonhodospes56","sonhodospes56","28.445.729/0001-90","21820-005","240","Rua Fonseca"," Loja 142 B","Bangu","Rio de Janeiro","RJ","Sim","sonhodospes56","Cadastrar como retorno para o seller identificado pelo ID restritor"
"5","1553","Loja sonhodospes20","sonhodospes20","28.445.729/0001-90","20050-090","72","Rua Uruguaiana","","Centro","Rio de Janeiro","RJ","Sim","sonhodospes20","Cadastrar como retorno para o seller identificado pelo ID restritor"
"6","1554","Loja sonhodospes01","sonhodospes01","28.445.729/0001-90","22755-158","7880","Estrada de Jacarepaguá","Lj C e D","Freguesia (Jacarepaguá)","Rio de Janeiro","RJ","Sim","sonhodospes01","Cadastrar como retorno para o seller identificado pelo ID restritor"
"8","1556","Loja sonhodospes08","sonhodospes08","28.445.729/0001-90","24030-085","628","Rua Almirante Teffe","Loja 4","Centro","Niterói","RJ","Sim","sonhodospes08","Cadastrar como retorno para o seller identificado pelo ID restritor"
"9","1557","Loja sonhodospes61","sonhodospes61","28.445.729/0001-90","21810-011","423","Avenida Cônego de Vasconcelos","LJ. H","Bangu","Rio de Janeiro","RJ","Sim","sonhodospes61","Cadastrar como retorno para o seller identificado pelo ID restritor"
"10","1558","Loja sonhodospes13","sonhodospes13","28.445.729/0001-90","25520-640","133","Rua da Matriz","","Centro","São João de Meriti","RJ","Sim","sonhodospes13","Cadastrar como retorno para o seller identificado pelo ID restritor"
"11","1559","Loja sonhodospes97","sonhodospes97","28.445.729/0001-90","20061-021","261","Rua da Alfândega","","Centro","Rio de Janeiro","RJ","Sim","sonhodospes97","Cadastrar como retorno para o seller identificado pelo ID restritor"
